filename,category,score,path
37540732.pdf,SALES,40.96,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\37540732.pdf
76916835.pdf,BUSINESS-DEVELOPMENT,38.19,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\76916835.pdf
18368613.pdf,SALES,36.27,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\18368613.pdf
24964303.pdf,BUSINESS-DEVELOPMENT,35.52,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\24964303.pdf
20423658.pdf,SALES,34.98,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\20423658.pdf
24767027.pdf,FITNESS,34.86,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\24767027.pdf
22319662.pdf,SALES,34.45,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\22319662.pdf
30608780.pdf,SALES,34.32,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\30608780.pdf
31761591.pdf,APPAREL,34.22,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\31761591.pdf
12587973.pdf,TEACHER,33.99,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\12587973.pdf
10289113.pdf,BUSINESS-DEVELOPMENT,33.88,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\10289113.pdf
26046878.pdf,APPAREL,33.68,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\26046878.pdf
18171955.pdf,SALES,33.61,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\18171955.pdf
98509238.pdf,SALES,32.92,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\98509238.pdf
27219200.pdf,BUSINESS-DEVELOPMENT,32.84,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\27219200.pdf
12315079.pdf,HEALTHCARE,32.13,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\12315079.pdf
24548333.pdf,HEALTHCARE,32.0,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\24548333.pdf
20255404.pdf,FITNESS,31.76,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\20255404.pdf
19108760.pdf,ADVOCATE,31.33,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\19108760.pdf
34131484.pdf,SALES,31.28,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\34131484.pdf
24946537.pdf,ADVOCATE,31.22,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\24946537.pdf
15680735.pdf,HEALTHCARE,31.18,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\15680735.pdf
15811992.pdf,BUSINESS-DEVELOPMENT,31.16,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\15811992.pdf
12082377.pdf,SALES,31.16,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\12082377.pdf
11773925.pdf,BANKING,30.97,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\11773925.pdf
34797369.pdf,BUSINESS-DEVELOPMENT,30.87,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\34797369.pdf
59422148.pdf,SALES,30.82,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\59422148.pdf
28867567.pdf,SALES,30.73,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\28867567.pdf
11551946.pdf,BUSINESS-DEVELOPMENT,30.63,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\11551946.pdf
38108845.pdf,FITNESS,30.59,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\38108845.pdf
28916894.pdf,BUSINESS-DEVELOPMENT,30.5,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\28916894.pdf
36366044.pdf,CHEF,30.09,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\36366044.pdf
16694152.pdf,BUSINESS-DEVELOPMENT,30.0,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\16694152.pdf
12814706.pdf,BUSINESS-DEVELOPMENT,29.98,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\12814706.pdf
79261033.pdf,BPO,29.94,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BPO\79261033.pdf
33578873.pdf,SALES,29.9,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\33578873.pdf
25315791.pdf,SALES,29.88,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\25315791.pdf
27937592.pdf,BUSINESS-DEVELOPMENT,29.73,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\27937592.pdf
14945250.pdf,DIGITAL-MEDIA,29.65,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DIGITAL-MEDIA\14945250.pdf
14752209.pdf,BUSINESS-DEVELOPMENT,29.55,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\14752209.pdf
13574264.pdf,BUSINESS-DEVELOPMENT,29.53,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\13574264.pdf
31273310.pdf,BUSINESS-DEVELOPMENT,29.34,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\31273310.pdf
34303500.pdf,SALES,29.17,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\34303500.pdf
38087844.pdf,SALES,29.02,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\38087844.pdf
17714174.pdf,APPAREL,28.85,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\17714174.pdf
12351749.pdf,SALES,28.83,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\12351749.pdf
13178604.pdf,SALES,28.75,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\13178604.pdf
